Receipt_id:REC1 Truck_id:1 Amount:265 Time:1:10:32 Date:26-11-2019
Receipt_id:REC2 Truck_id:2 Amount:275 Time:2:19:56 Date:01-01-2020
Receipt_id:REC3 Truck_id:3 Amount:365 Time:22:10:32 Date:29-01-2020
Receipt_id:REC4 Truck_id:4 Amount:295 Time:23:14:32 Date:02-02-2020
Receipt_id:REC5 Truck_id:5 Amount:25 Time:6:11:32 Date:19-02-2020
Receipt_id:REC6 Truck_id:6 Amount:165 Time:11:14:32 Date:20-03-2020
Receipt_id:REC7 Truck_id:7 Amount:565 Time:9:20:32 Date:28-03-2020
Receipt_id:REC8 Truck_id:8 Amount:216 Time:21:10:32 Date:01-04-2020
Receipt_id:REC9 Truck_id:9 Amount:345 Time:13:10:32 Date:22-04-2020
Receipt_id:REC10 Truck_id:10 Amount:65 Time:20:35:32 Date:08-05-2020
Receipt_id:REC11 Truck_id:11 Amount:125 Time:8:10:32 Date:23-06-2020
Receipt_id:REC12 Truck_id:12 Amount:455 Time:10:22:25 Date:11-07-2020
Receipt_id:REC13 Truck_id:13 Amount:675 Time:11:15:33 Date:29-07-2020
Receipt_id:REC14 Truck_id:14 Amount:295 Time:12:00:59 Date:13-08-2020
Receipt_id:REC15 Truck_id:15 Amount:965 Time:15:12:22 Date:23-08-2020
Receipt_id:REC16 Truck_id:16 Amount:50 Time:20:16:32 Date:20-09-2020
Receipt_id:REC17 Truck_id:17 Amount:235 Time:17:10:34 Date:30-09-2020
Receipt_id:REC18 Truck_id:18 Amount:786 Time:16:10:37 Date:11-10-2020
Receipt_id:REC19 Truck_id:19 Amount:200 Time:15:18:20 Date:26-11-2020
Receipt_id:REC20 Truck_id:20 Amount:1000 Time:13:45:55 Date:28-11-2020
